date,open,high,close,low,volume,amount,turnover_rate,p_change,review_pc,amplitude,MACD,DIFF,DEM,ema_quick,ema_slow,K,D,J,MACD_d,DIFF_d,DEM_d,K_d
2018-02-23,14.065,14.595,14.141,14.065,19228.0,27190314.8,0.728333333333,1.40552169236,1.81741036702,3.74796690475,-0.0896148419783,-0.746839663398,-0.702032242409,14.2855372247,15.0323768881,38.8279197414,42.495593244,31.4925727363,-0.556537498063,-0.0568661996355,0.0162150586533,-0.239742563001
2018-02-26,14.209,14.436,14.398,14.149,17974.0,25878965.2,0.680833333333,1.81741036702,-0.368106681484,1.99333240728,0.0311766800669,-0.682546817368,-0.698135157401,14.3028391901,14.9853860075,54.8051404548,46.5987756476,71.2178700692,-1.34789639058,-0.0860865446519,-0.00555114818515,0.411487940116
2018-02-27,14.375,14.459,14.345,14.232,11934.0,17119323.0,0.452045454545,-0.368106681484,-0.738933426281,1.58243290345,0.111216990449,-0.62862453837,-0.684233033595,14.3093254686,14.9379500069,53.1300055308,48.7758522753,61.8383120418,2.56731346026,-0.0790015829319,-0.0199132269142,-0.0305652884034
2018-02-28,14.194,14.496,14.239,14.194,10148.0,14449737.2,0.384393939394,-0.738933426281,0.477561626519,2.12093545895,0.154501227129,-0.587669766639,-0.664920380204,14.2985061657,14.8861759324,40.3868911044,45.979531885,29.2016095432,0.389187268111,-0.0651498139692,-0.0282252572485,-0.239847790322
2018-03-01,14.247,14.345,14.307,14.217,11072.0,15840710.4,0.419393939394,0.477561626519,-1.53071922835,0.89466694625,0.194334845146,-0.543461101988,-0.64062852456,14.2998129094,14.8432740114,50.3620940696,47.4403859465,56.2055103157,0.257820722571,-0.075227052949,-0.0365334803481,0.24699110757
2018-03-02,14.27,14.315,14.088,14.073,11940.0,16821072.0,0.452272727273,-1.53071922835,3.4355479841,1.71777399205,0.192843270702,-0.520101480372,-0.616523115723,14.267226308,14.7873277884,35.6408450822,43.5072056584,19.9081239298,-0.0076752804827,-0.0429830608488,-0.0376277482403,-0.29230811902
2018-03-05,14.202,14.791,14.572,13.937,29984.0,43692684.8,1.13575757576,3.4355479841,-0.521548174581,5.86055448806,0.254816163528,-0.457263013518,-0.584671095282,14.3141145683,14.7713775818,48.5458873538,45.1867662236,55.2641296143,0.321364041383,-0.120819626987,-0.0516639516487,0.36208575419
2018-03-06,14.731,14.731,14.496,14.413,22612.0,32778355.2,0.856515151515,-0.521548174581,-1.35209713024,2.19370860927,0.281262072424,-0.408882300016,-0.549513336229,14.3420969424,14.7509792424,41.0641345461,43.8125556644,35.5672923096,0.103784267569,-0.105805000779,-0.0601325417603,-0.154117129493
2018-03-07,14.436,14.549,14.3,14.292,14216.0,20328880.0,0.538484848485,-1.35209713024,2.95804195804,1.7972027972,0.268096725349,-0.381952882886,-0.51600124556,14.3356204897,14.7175733726,28.4137031864,38.6796048384,7.88189988238,-0.0468081137356,-0.0658610488391,-0.0609850361387,-0.3080652131
2018-03-08,14.549,14.799,14.723,14.322,32791.0,48278189.3,1.24208333333,2.95804195804,0.516199144196,3.23982883923,0.309189180815,-0.322758007551,-0.477352597958,14.3952173375,14.717975345,46.9648307756,41.4413468175,58.0117986918,0.153274738483,-0.154979522311,-0.0749002990485,0.652893692436
2018-03-09,14.572,15.025,14.799,14.557,33045.0,48903295.5,1.25170454545,0.516199144196,0.709507399149,3.16237583621,0.337141077973,-0.266639424225,-0.435209963212,14.4573377471,14.7239771713,48.5463544202,43.809682685,58.0196978905,0.0904038656343,-0.173872009409,-0.0882840795816,0.0336746373509
